condition,split,model,mean,median,max,pct_over_2048,n
vota,train,Qwen2.5-Coder-7B,1929.3,2048.0,2048,0.0,4720
vota,train,DeepSeek-Coder-6.7B,2626.5,2811.0,2936,91.67,4720
vota,test,Qwen2.5-Coder-7B,1911.1,2048.0,2048,0.0,1190
vota,test,DeepSeek-Coder-6.7B,2627.8,2836.0,2955,91.68,1190
no_trace,train,Qwen2.5-Coder-7B,216.8,188.0,1292,0.0,4720
no_trace,train,DeepSeek-Coder-6.7B,285.8,254.0,1340,0.0,4720
no_trace,test,Qwen2.5-Coder-7B,184.5,153.0,928,0.0,1190
no_trace,test,DeepSeek-Coder-6.7B,248.4,215.5,999,0.0,1190
exception_only,train,Qwen2.5-Coder-7B,528.2,238.0,2048,0.0,4720
exception_only,train,DeepSeek-Coder-6.7B,720.3,314.0,2910,13.26,4720
exception_only,test,Qwen2.5-Coder-7B,430.4,182.0,2048,0.0,1190
exception_only,test,DeepSeek-Coder-6.7B,591.4,248.5,2663,10.34,1190
full_trace,train,Qwen2.5-Coder-7B,1962.9,2048.0,2048,0.0,4720
full_trace,train,DeepSeek-Coder-6.7B,2754.9,2879.0,2954,95.13,4720
full_trace,test,Qwen2.5-Coder-7B,1943.6,2048.0,2048,0.0,1190
full_trace,test,DeepSeek-Coder-6.7B,2735.9,2888.0,2957,94.12,1190
ae_only,train,Qwen2.5-Coder-7B,1418.8,1604.0,2048,0.0,4720
ae_only,train,DeepSeek-Coder-6.7B,1910.8,2214.0,2933,68.77,4720
ae_only,test,Qwen2.5-Coder-7B,1319.0,1514.0,2048,0.0,1190
ae_only,test,DeepSeek-Coder-6.7B,1798.1,2117.0,2908,66.97,1190
loop_only,train,Qwen2.5-Coder-7B,1220.6,1032.0,2048,0.0,4720
loop_only,train,DeepSeek-Coder-6.7B,1700.3,1445.0,2909,23.77,4720
loop_only,test,Qwen2.5-Coder-7B,1183.7,991.0,2048,0.0,1190
loop_only,test,DeepSeek-Coder-6.7B,1655.5,1403.0,2904,20.25,1190
